"REF_DATE","GEO","DGUID","Assets and debts","Net worth quintiles","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Middle net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757568","1.3.4.4","65.2","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Middle net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751248","1.3.4.5","18300","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Middle net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751249","1.3.4.6","26200","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Fourth net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751250","1.3.5.1","99284","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Fourth net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757569","1.3.5.2","10.6","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Fourth net worth quintile","Number of family units","Number","223","thousands","3","v80757570","1.3.5.3","1869","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Fourth net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757571","1.3.5.4","76.5","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Fourth net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751251","1.3.5.5","36700","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Fourth net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751252","1.3.5.6","53100","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Highest net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751253","1.3.6.1","380084","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Highest net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757572","1.3.6.2","13.5","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Highest net worth quintile","Number of family units","Number","223","thousands","3","v80757573","1.3.6.3","2180","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Highest net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757574","1.3.6.4","89.2","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Highest net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751254","1.3.6.5","111400","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Highest net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751255","1.3.6.6","174300","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Total, all net worth quintiles","Dollars","2012 constant dollars","23","millions","6","v80751256","1.4.1.1","773101","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Total, all net worth quintiles","Percentage of total assets or total debts","Percent","239","units ","0","v80757575","1.4.1.2","17.2","","","","1"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Total, all net worth quintiles","Number of family units","Number","223","thousands","3","v80757576","1.4.1.3","5611","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Total, all net worth quintiles","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757577","1.4.1.4","45.9","","","","1"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Total, all net worth quintiles","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751257","1.4.1.5","63900","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Total, all net worth quintiles","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751258","1.4.1.6","137800","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Lowest net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751259","1.4.2.1","1074","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Lowest net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757578","1.4.2.2","4.1","","","","1"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Lowest net worth quintile","Number of family units","Number","223","thousands","3","v80757579","1.4.2.3","250","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Lowest net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757580","1.4.2.4","10.2","","","","1"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Lowest net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751260","1.4.2.5","1800","E","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Lowest net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751261","1.4.2.6","4300","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Second net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751262","1.4.3.1","13124","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Second net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757581","1.4.3.2","6.7","","","","1"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Second net worth quintile","Number of family units","Number","223","thousands","3","v80757582","1.4.3.3","793","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Second net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757583","1.4.3.4","32.5","","","","1"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Second net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751263","1.4.3.5","11200","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Second net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751264","1.4.3.6","16600","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Middle net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751265","1.4.4.1","58328","","","","0"
